,店舗名,駐車場台数,坪単価,合計徒歩人口
0,既存店A-2,754,1482865.622,3328
1,既存店A-3,143,4745236.031,17679
2,既存店A-4,1000,6720056.749,4904
3,既存店B-1,320,5402884.923,3867
4,既存店B-2,540,12847347.88,29285
5,既存店B-3,250,3955157.71,9014
6,既存店B-4,240,3564624.792,16425
7,既存店B-5,362,10705434.06,19837
8,既存店B-6,41,6077344.503,17274
9,既存店B-7,653,6709740.37,20156
10,既存店B-8,59,7681227.011,12653
