,店舗名,売場面積（坪）,駐車場台数,坪単価,合計徒歩人口,総数４５〜４９歳
0,既存店A-2,2192,754,1482865.622,3328,231
1,既存店A-3,547,143,4745236.031,17679,1677
2,既存店A-4,858,1000,6720056.749,4904,337
3,既存店B-1,535,320,5402884.923,3867,235
4,既存店B-2,556,540,12847347.88,29285,2396
5,既存店B-3,689,250,3955157.71,9014,646
6,既存店B-4,674,240,3564624.792,16425,1234
7,既存店B-5,540,362,10705434.06,19837,1704
8,既存店B-6,433,41,6077344.503,17274,1180
9,既存店B-7,481,653,6709740.37,20156,1703
10,既存店B-8,354,59,7681227.011,12653,1102
